职能,公司名称,地址,薪资,发布日期
规划/控制算法工程师,福建牧月科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招若干人,2.5-5万/月,02-22发布
衍射光学算法工程师,深圳联纳科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,2-5万/月,02-22发布
交易系统运维岗（初级，账户管理方向）,世纪证券有限责任公司,深圳-福田区  |  1年经验  |  本科  |  招1人,0.8-1万/月,02-22发布
网络平台工程师(产品经理）,深圳市雄韬电源科技股份有限公司,深圳  |  2年经验  |  本科  |  招若干人,1-1.8万/月,02-22发布
运维工程师,深圳市汇源衡润科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招3人,4.5-7.5千/月,02-22发布
夜间量化交易员,深圳远见前沿科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1.5-2万/月,02-22发布
少儿编程老师,深圳有方国际教育有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,0.9-1.3万/月,02-21发布
数据仓库开发工程师,印力商用置业有限公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1.3-3万/月,02-20发布
运维工程师,深圳市云捷网络有限公司,深圳-南山区  |  1年经验  |  大专  |  招2人,1.5-2万/月,02-20发布
质控专员,福建纵腾网络有限公司,深圳-龙岗区  |  1年经验  |  大专  |  招1人,6-8千/月,02-20发布
系统测试工程师,深圳市阿拉丁企业咨询管理有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,2-3万/月,02-20发布
大数据分析工程师,广西柳工机械股份有限公司,异地招聘  |  2年经验  |  本科  |  招2人,0.8-1万/月,02-20发布
数学建模工程师,深圳市刚竹医疗科技有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,1-2万/月,02-20发布
NLP算法工程师,深圳思谋信息科技有限公司,异地招聘  |  1年经验  |  本科  |  招1人,1.5-3万/月,02-19发布
生物信息分析工程师,深圳市易基因科技有限公司,深圳-坪山区  |  1年经验  |  本科  |  招若干人,0.6-1万/月,02-19发布
语音评测算法研究员,暗物智能科技（广州）有限公司,异地招聘  |  1年经验  |  硕士  |  招若干人,2-4万/月,02-19发布
APP测试工程师,盯盯拍（深圳）技术股份有限公司,深圳-南山区  |  1年经验  |  本科  |  招2人,0.7-1.5万/月,02-19发布
贷后管理员,深圳点汇信息技术有限公司,深圳-南山区  |  2年经验  |  本科  |  招若干人,6-9千/月,02-19发布
算法工程师,深圳怡化电脑股份有限公司,深圳-南山区  |  2年经验  |  本科  |  招3人,1-1.8万/月,02-19发布
自动化测试系统开发工程师,深圳市锐明技术股份有限公司,深圳  |  2年经验  |  本科  |  招1人,1-1.5万/月,02-19发布
测试工程师,润世华集团,深圳-龙岗区  |  2年经验  |  本科  |  招10人,1.5-2.5万/月,02-19发布
测试工程师,深圳市宏电技术股份有限公司,深圳  |  1年经验  |  本科  |  招1人,1-2万/月,02-18发布
交易员,深圳前海千惠资产管理有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,0.7-1万/月,02-18发布
数据分析师,翰竺科技（北京）有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,1.2-1.6万/月,02-18发布
工具设计工程师,深圳市天珑移动技术有限公司,深圳  |  2年经验  |  本科  |  招若干人,1-3万/月,02-18发布
测试工程师,深圳市鼎微科技有限公司,深圳-宝安区  |  1年经验  |  大专  |  招1人,5-8千/月,02-18发布
应用开发工程师H21-03(J11426),上海联影医疗科技股份有限公司,深圳-福田区  |  2年经验  |  硕士  |  招若干人,1.5-3万/月,02-17发布
少儿编程老师,广东树童教育顾问有限公司,深圳-盐田区  |  1年经验  |  大专  |  招若干人,2-2.5万/月,02-17发布
FAE现场应用工程师,特瑞仕芯电子（上海）有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,2-2.5万/月,02-15发布
游戏运维工程师（在广州上班）,湖南奇葩乐游网络科技有限公司,异地招聘  |  2年经验  |  大专  |  招1人,1-1.8万/月,02-10发布
期货期权量化交易员,静瞳海外投资顾问（深圳）有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,1.5-2万/月,02-08发布
Web前端开发工程师,杭州博彦信息技术有限公司,深圳-福田区  |  2年经验  |  本科  |  招若干人,1-1.5万/月,02-07发布
自动化测试工程师,深圳市车安科技发展有限公司,深圳  |  2年经验  |  本科  |  招1人,1-1.5万/月,02-06发布
运维工程师,广东腾安机电安装工程有限公司,异地招聘  |  2年经验  |  本科  |  招1人,0.6-1.5万/月,02-05发布
网络安全工程师,深圳市洪业通实业有限公司,深圳-福田区  |  2年经验  |  大专  |  招2人,0.7-1.5万/月,02-04发布
C++测试开发工程师(J10051),深圳华锐金融技术股份有限公司,深圳-福田区  |  2年经验  |  本科  |  招若干人,0.9-1.7万/月,02-03发布
软件测试工程师,易博互通企服科技有限公司,异地招聘  |  2年经验  |  大专  |  招50人,0.8-1.4万/月,02-02发布
风险管理（衍生品方向）,金瑞期货股份有限公司,深圳-福田区  |  2年经验  |  硕士  |  招1人,1.2-1.5万/月,02-02发布
测试工程师,图灵视讯（深圳）有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招1人,0.8-1.2万/月,02-02发布
高级测试工程师,鲁德（上海）教育科技中心,深圳-福田区  |  2年经验  |  本科  |  招若干人,3-4万/月,02-01发布
固定收益部-信用研究岗,申港证券股份有限公司,异地招聘  |  2年经验  |  招若干人,30-40万/年,02-01发布
AI测试工程师,深圳市美通视讯科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招1人,0.8-1万/月,02-01发布
算法工程师（生物信号）,未来穿戴技术有限公司,深圳-南山区  |  2年经验  |  本科  |  招1人,1.5-3万/月,01-31发布
测试工程师（自动化）,国任财产保险股份有限公司,深圳-罗湖区  |  1年经验  |  本科  |  招2人,0.9-1.8万/月,01-30发布
前端开发工程师,深圳云码通科技有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,1.5-2万/月,01-30发布
数据挖掘工程师（舆情监控方向）,深圳市万全智策企业管理咨询服务股份有限公司,深圳  |  2年经验  |  本科  |  招若干人,1-2.5万/月,01-29发布
风控经理,正深投资（深圳）集团有限公司,深圳-龙华区  |  2年经验  |  大专  |  招1人,1.8-2.8万/月,01-29发布
算法工程师,径卫视觉科技（上海）有限公司,深圳-宝安区  |  1年经验  |  硕士  |  招2人,2.5-3万/月,01-29发布
生物信息分析工程师,深圳碳云智能数字生命健康管理有限公司,深圳-龙华区  |  2年经验  |  硕士  |  招2人,1.5-2万/月,01-29发布
系统运维工程师,深圳市共生财商教育咨询有限公司,深圳-福田区  |  1年经验  |  大专  |  招1人,0.7-1.1万/月,01-28发布
Matlab建模工程师,湖南时变通讯科技有限公司,异地招聘  |  1年经验  |  硕士  |  招2人,1-2万/月,01-26发布
Web开发工程师,深圳市达科为生物技术股份有限公司,深圳-坪山区  |  1年经验  |  本科  |  招1人,0.8-1.5万/月,01-26发布
运维工程师,深圳市宏正道科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招2人,0.8-1万/月,01-26发布
数据处理工程师,深圳前海鼎颂法务创新集团有限责任公司,深圳-福田区  |  2年经验  |  本科  |  招1人,1-3万/月,01-26发布
运维工程师,深圳店小秘网络科技有限公司,深圳-龙岗区  |  2年经验  |  本科  |  招1人,1-1.2万/月,01-25发布
策划师/高级策划师-同致汇,深圳市同致行物业顾问有限公司,深圳-福田区  |  2年经验  |  本科  |  招2人,7-9千/月,01-25发布
IDC机房运维,深圳市国兴信息技术咨询有限公司,深圳-南山区  |  1年经验  |  大专  |  招5人,1-1.5万/月,01-25发布
总公司信息管理中心信息安全部安全攻防岗(J15283),前海人寿保险股份有限公司,深圳-龙华区  |  2年经验  |  本科  |  招1人,1-1.5万/月,01-24发布
UE4引擎师,深圳传趣网络技术有限公司,深圳  |  2年经验  |  大专  |  招1人,1-1.5万/月,01-23发布
HRBP助理,深圳真酒网电子商务有限公司,深圳-龙岗区  |  1年经验  |  大专  |  招1人,4.5-6千/月,01-23发布
软件测试,重庆软维科技有限公司,深圳  |  2年经验  |  本科  |  招3人,0.8-1万/月,01-22发布
QA engnineer,广东畅讲网络科技有限公司,深圳-南山区  |  1年经验  |  本科  |  招5人,1.5-2万/月,01-21发布
运维工程师,深圳市芙美智能科技有限公司,深圳-宝安区  |  2年经验  |  本科  |  招1人,0.8-1万/月,01-21发布
安全渗透测试工程师--平安产险,深圳市金慧融智数据服务有限公司,深圳-福田区  |  2年经验  |  大专  |  招1人,1-1.5万/月,01-21发布
生物信息分析工程师（深圳）,北京吉因加科技有限公司,深圳-坪山区  |  2年经验  |  本科  |  招1人,0.8-1.2万/月,01-21发布
数据分析师,深圳自如友家资产管理有限公司,深圳-福田区  |  1年经验  |  本科  |  招1人,0.8-1万/月,01-20发布
自动化运维工程师,深圳紫讯信息科技有限公司,深圳-南山区  |  2年经验  |  大专  |  招若干人,1-1.5万/月,01-20发布
AI视觉算法工程师(J10866),安克创新科技股份有限公司深圳分公司,深圳-南山区  |  2年经验  |  硕士  |  招2人,25-65万/年,01-19发布
